species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000003278	1.252524	1.626651	1.025199	1.331431	-0.181493	-0.181489	competition	0.0037	5	0.0236
akk_GCF_000020225.1	MGYG000003279	1.252524	1.079622	0.873266	0.752719	-0.302794	-0.302793	competition	0.2071	4	0.0677
akk_GCF_000020225.1	MGYG000003280	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000003282	1.252524	0.722290	0.969114	0.558851	-0.226271	-0.226278	competition	0.8080	5	0.0400
akk_GCF_000020225.1	MGYG000003283	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000003284	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000003287	1.252524	0.975957	0.976255	0.760691	-0.220569	-0.220569	competition	0.4831	8	0.0663
akk_GCF_000020225.1	MGYG000003288	1.252524	0.300725	1.042830	0.250372	-0.167417	-0.167436	competition	0.3534	4	0.0454
akk_GCF_000020225.1	MGYG000003290	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000003292	1.252524	0.286668	1.062373	0.243140	-0.151814	-0.151843	competition	-0.0000	1	0.0257
akk_GCF_000020225.1	MGYG000003293	1.252524	1.420293	1.042379	1.182006	-0.167777	-0.167774	competition	-0.0000	3	0.0988
akk_GCF_000020225.1	MGYG000003295	1.252524	0.517051	1.025557	0.423354	-0.181208	-0.181216	competition	0.8386	3	0.1608
akk_GCF_000020225.1	MGYG000003298	1.252524	0.517946	1.050071	0.434223	-0.161636	-0.161644	competition	-0.0000	3	0.1164
akk_GCF_000020225.1	MGYG000003302	1.252524	1.447009	0.972888	1.123957	-0.223258	-0.223255	competition	-0.0000	1	0.0265
akk_GCF_000020225.1	MGYG000003306	1.252524	0.724389	1.136277	0.657156	-0.092810	-0.092812	competition	0.0024	3	0.0273
akk_GCF_000020225.1	MGYG000003307	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000003309	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000003310	1.252524	1.066559	1.007827	0.858194	-0.195363	-0.195362	competition	-0.0000	2	0.0263
akk_GCF_000020225.1	MGYG000003311	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
