strain	phylum	mean_mut	mean_n
L_gasseri_ATCC33323_GCF_000014425.1	Bacillota	30.339	1207.1
L_gasseri_ATCC33323_GCF_000014425.1	Bacteroidota	31.866	301.7
L_gasseri_ATCC33323_GCF_000014425.1	Pseudomonadota	26.354	273.5
L_gasseri_ATCC33323_GCF_000014425.1	Actinomycetota	11.141	431.4
L_gasseri_ATCC33323_GCF_000014425.1	Desulfobacterota_I	98.095	20.4
L_gasseri_ATCC33323_GCF_000014425.1	Cyanobacteriota	53.319	37.6
L_gasseri_ATCC33323_GCF_000014425.1	Verrucomicrobiota	38.619	31.9
L_gasseri_ATCC33323_GCF_000014425.1	Elusimicrobiota	0.000	3.7
L_gasseri_ATCC33323_GCF_000014425.1	Spirochaetota	40.195	9.8
L_gasseri_ATCC33323_GCF_000014425.1	Campylobacterota	73.947	38.0
L_gasseri_ATCC33323_GCF_000014425.1	Methanobacteriota	100.000	6.4
L_gasseri_ATCC33323_GCF_000014425.1	Fusobacteriota	24.678	25.5
L_gasseri_ATCC33323_GCF_000014425.1	Unknown	37.746	8.7
L_gasseri_ATCC33323_GCF_000014425.1	Synergistota	76.333	5.9
L_paracasei_ATCC334_GCF_000014525.1	Bacillota	10.127	1207.1
L_paracasei_ATCC334_GCF_000014525.1	Bacteroidota	6.286	301.7
L_paracasei_ATCC334_GCF_000014525.1	Pseudomonadota	3.137	273.5
L_paracasei_ATCC334_GCF_000014525.1	Actinomycetota	3.778	431.4
L_paracasei_ATCC334_GCF_000014525.1	Desulfobacterota_I	20.310	20.4
L_paracasei_ATCC334_GCF_000014525.1	Cyanobacteriota	6.379	37.6
L_paracasei_ATCC334_GCF_000014525.1	Verrucomicrobiota	19.238	31.9
L_paracasei_ATCC334_GCF_000014525.1	Elusimicrobiota	0.000	3.7
L_paracasei_ATCC334_GCF_000014525.1	Spirochaetota	15.909	9.8
L_paracasei_ATCC334_GCF_000014525.1	Campylobacterota	13.158	38.0
L_paracasei_ATCC334_GCF_000014525.1	Methanobacteriota	100.000	6.4
L_paracasei_ATCC334_GCF_000014525.1	Fusobacteriota	5.046	25.5
L_paracasei_ATCC334_GCF_000014525.1	Unknown	19.175	8.7
L_paracasei_ATCC334_GCF_000014525.1	Synergistota	10.000	5.9
L_plantarum_WCFS1_GCF_000203855.3	Bacillota	25.257	1207.1
L_plantarum_WCFS1_GCF_000203855.3	Bacteroidota	20.325	301.7
L_plantarum_WCFS1_GCF_000203855.3	Pseudomonadota	14.681	273.5
L_plantarum_WCFS1_GCF_000203855.3	Actinomycetota	7.467	431.4
L_plantarum_WCFS1_GCF_000203855.3	Desulfobacterota_I	71.810	20.4
L_plantarum_WCFS1_GCF_000203855.3	Cyanobacteriota	37.511	37.6
L_plantarum_WCFS1_GCF_000203855.3	Verrucomicrobiota	25.667	31.9
L_plantarum_WCFS1_GCF_000203855.3	Elusimicrobiota	0.000	3.7
L_plantarum_WCFS1_GCF_000203855.3	Spirochaetota	40.195	9.8
L_plantarum_WCFS1_GCF_000203855.3	Campylobacterota	53.421	38.0
L_plantarum_WCFS1_GCF_000203855.3	Methanobacteriota	100.000	6.4
L_plantarum_WCFS1_GCF_000203855.3	Fusobacteriota	13.969	25.5
L_plantarum_WCFS1_GCF_000203855.3	Unknown	19.175	8.7
L_plantarum_WCFS1_GCF_000203855.3	Synergistota	56.000	5.9
L_reuteri_DSM20016_GCF_000016825.1	Bacillota	24.013	1207.1
L_reuteri_DSM20016_GCF_000016825.1	Bacteroidota	32.609	301.7
L_reuteri_DSM20016_GCF_000016825.1	Pseudomonadota	9.183	273.5
L_reuteri_DSM20016_GCF_000016825.1	Actinomycetota	8.990	431.4
L_reuteri_DSM20016_GCF_000016825.1	Desulfobacterota_I	21.429	20.4
L_reuteri_DSM20016_GCF_000016825.1	Cyanobacteriota	27.635	37.6
L_reuteri_DSM20016_GCF_000016825.1	Verrucomicrobiota	39.619	31.9
L_reuteri_DSM20016_GCF_000016825.1	Elusimicrobiota	37.500	3.7
L_reuteri_DSM20016_GCF_000016825.1	Spirochaetota	23.766	9.8
L_reuteri_DSM20016_GCF_000016825.1	Campylobacterota	0.000	38.0
L_reuteri_DSM20016_GCF_000016825.1	Methanobacteriota	100.000	6.4
L_reuteri_DSM20016_GCF_000016825.1	Fusobacteriota	54.226	25.5
L_reuteri_DSM20016_GCF_000016825.1	Unknown	19.175	8.7
L_reuteri_DSM20016_GCF_000016825.1	Synergistota	28.333	5.9
L_rhamnosus_GG_GCF_000026505.1	Bacillota	11.104	1207.1
L_rhamnosus_GG_GCF_000026505.1	Bacteroidota	5.867	301.7
L_rhamnosus_GG_GCF_000026505.1	Pseudomonadota	3.468	273.5
L_rhamnosus_GG_GCF_000026505.1	Actinomycetota	3.754	431.4
L_rhamnosus_GG_GCF_000026505.1	Desulfobacterota_I	25.190	20.4
L_rhamnosus_GG_GCF_000026505.1	Cyanobacteriota	7.202	37.6
L_rhamnosus_GG_GCF_000026505.1	Verrucomicrobiota	16.905	31.9
L_rhamnosus_GG_GCF_000026505.1	Elusimicrobiota	0.000	3.7
L_rhamnosus_GG_GCF_000026505.1	Spirochaetota	17.338	9.8
L_rhamnosus_GG_GCF_000026505.1	Campylobacterota	13.684	38.0
L_rhamnosus_GG_GCF_000026505.1	Methanobacteriota	100.000	6.4
L_rhamnosus_GG_GCF_000026505.1	Fusobacteriota	5.046	25.5
L_rhamnosus_GG_GCF_000026505.1	Unknown	19.175	8.7
L_rhamnosus_GG_GCF_000026505.1	Synergistota	11.667	5.9
