species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002591	mutualism	0.0234	0.033746	0.033715	7	9	0.7333333333333333	1.8
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002536	competition	0.0808	-0.345729	-0.345725	6	12	0.5957446808510638	2.7
L_crispatus_M247_GCF_026740115.1	MGYG000004119	mutualism	0.0042	0.743038	0.510606	7	7	0.8421052631578947	0.9
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000595	mutualism	0.0187	0.147488	0.147460	7	8	0.8181818181818182	1.2
L_rhamnosus_GG_GCF_000026505.1	MGYG000003022	competition	0.0545	-0.206165	-0.206188	5	11	0.7924528301886793	1.7
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002712	mutualism	0.0376	0.044917	0.044891	9	13	0.6885245901639344	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000001660	mutualism	0.0418	0.031295	0.031120	3	7	0.7	0.9
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001608	mutualism	0.0251	0.076661	0.076668	7	7	0.7878787878787878	1.4
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002733	competition	0.0988	-0.116368	-0.116357	2	5	0.8253968253968254	1.6
L_crispatus_ST1_GCF_000091765.1	MGYG000001738	mutualism	0.0120	0.058062	0.058060	7	9	0.6666666666666666	1.5
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002146	mutualism	0.0335	0.234551	0.234545	3	13	0.7457627118644068	1.6
L_crispatus_ST1_GCF_000091765.1	MGYG000001212	mutualism	0.0360	0.529595	0.529585	5	7	0.835820895522388	1.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000001226	mutualism	0.0677	0.019028	0.019029	6	5	0.7142857142857143	1.7
L_crispatus_ST1_GCF_000091765.1	MGYG000002308	mutualism	0.0091	0.094056	0.094036	7	9	0.6101694915254238	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002411	competition	0.0257	-0.065620	-0.065617	7	8	0.7142857142857143	2.0
L_casei_ATCC393_GCF_000829055.1	MGYG000000203	competition	0.0238	-0.118769	-0.118766	6	12	0.7096774193548387	1.5
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004701	mutualism	0.0168	0.234398	0.234393	7	8	0.6440677966101694	1.6
L_crispatus_ST1_GCF_000091765.1	MGYG000000858	mutualism	0.0278	0.518324	0.518297	6	10	0.7575757575757576	1.1
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000001655	competition	0.0206	-0.017348	-0.017320	7	10	0.746268656716418	1.7
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003857	mutualism	0.0314	0.288339	0.288313	6	10	0.6885245901639344	0.7
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001448	competition	0.0530	-0.282556	-0.282551	7	11	0.6984126984126984	1.5
L_rhamnosus_GG_GCF_000026505.1	MGYG000000605	competition	0.2180	-0.176922	-0.176936	2	6	0.7307692307692307	1.6
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002383	competition	0.0689	-0.195390	-0.195373	10	6	0.7692307692307693	1.8
L_crispatus_ST1_GCF_000091765.1	MGYG000002291	mutualism	0.0159	0.007738	0.007742	13	9	0.6181818181818182	1.9
L_crispatus_M247_GCF_026740115.1	MGYG000001680	mutualism	0.0370	0.042205	0.042208	6	1	0.8615384615384616	1.1
L_crispatus_ST1_GCF_000091765.1	MGYG000003114	competition	0.0673	-0.327304	-0.327295	2	14	0.6296296296296297	2.0
L_rhamnosus_GG_GCF_000026505.1	MGYG000002155	mutualism	0.0527	0.035841	0.035828	7	8	0.7936507936507936	1.3
L_acidophilus_NCFM_GCF_000011985.1	MGYG000003558	mutualism	0.0267	0.343051	0.343038	7	5	0.8405797101449275	1.0
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000001760	mutualism	0.0645	0.229569	0.229567	5	8	0.8285714285714286	1.6
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002408	competition	0.0405	-0.290112	-0.290103	7	16	0.56	2.2
L_crispatus_M247_GCF_026740115.1	MGYG000003558	mutualism	0.0294	0.326126	0.326113	9	5	0.8529411764705882	0.9
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002031	mutualism	0.0530	0.225319	0.225314	5	7	0.782608695652174	1.1
L_casei_ATCC393_GCF_000829055.1	MGYG000004806	competition	0.0468	-0.310816	-0.310818	6	7	0.7213114754098361	1.4
L_crispatus_ST1_GCF_000091765.1	MGYG000002083	competition	0.0734	-0.269724	-0.269720	4	8	0.75	1.6
L_crispatus_M247_GCF_026740115.1	MGYG000004465	mutualism	0.0227	0.289003	0.289004	6	6	0.8055555555555556	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000000237	competition	0.0743	-0.209071	-0.209067	4	6	0.7619047619047619	1.2
L_rhamnosus_GG_GCF_000026505.1	MGYG000000367	competition	0.0645	-0.119187	-0.119191	8	9	0.6071428571428571	1.8
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002775	competition	0.0931	-0.100718	-0.100707	4	9	0.7868852459016393	1.3
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000004116	competition	0.1330	-0.093756	-0.093733	8	7	0.8059701492537313	1.6
L_casei_ATCC393_GCF_000829055.1	MGYG000000813	competition	0.0336	-0.147465	-0.147469	5	9	0.6885245901639344	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000003971	competition	0.0515	-0.118181	-0.118178	8	15	0.6206896551724138	1.3
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000004136	competition	0.0263	-0.231776	-0.231771	8	7	0.7692307692307693	1.8
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002354	competition	0.1220	-0.387081	-0.387077	6	13	0.5714285714285714	2.5
L_crispatus_ST1_GCF_000091765.1	MGYG000004643	competition	0.0197	-0.080438	-0.080440	8	7	0.6885245901639344	1.7
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004573	mutualism	0.0301	0.156250	0.156256	8	5	0.8767123287671232	1.3
L_reuteri_DSM20016_GCF_000016825.1	MGYG000001894	mutualism	0.0226	0.093857	0.093837	10	7	0.8157894736842105	1.0
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004126	mutualism	0.0258	0.139448	0.139445	5	9	0.7619047619047619	1.9
L_crispatus_ST1_GCF_000091765.1	MGYG000001836	mutualism	0.0355	0.265235	0.265231	8	5	0.7714285714285715	1.0
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000004711	mutualism	0.0258	0.047687	0.047709	6	9	0.7272727272727273	1.4
L_crispatus_ST1_GCF_000091765.1	MGYG000004471	competition	0.1187	-0.249394	-0.249382	4	7	0.6896551724137931	1.3
L_rhamnosus_GG_GCF_000026505.1	MGYG000001090	mutualism	0.0402	0.031608	0.031583	10	8	0.7931034482758621	1.7
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002280	competition	0.0570	-0.074931	-0.074913	7	7	0.7540983606557377	1.6
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000395	mutualism	0.0407	0.271244	0.271248	3	5	0.7096774193548387	1.2
L_rhamnosus_GG_GCF_000026505.1	MGYG000001277	competition	0.0304	-0.122613	-0.122631	6	10	0.6666666666666666	2.0
L_crispatus_M247_GCF_026740115.1	MGYG000002819	competition	0.0387	-0.050965	-0.050969	8	15	0.6551724137931034	1.4
L_casei_ATCC393_GCF_000829055.1	MGYG000000114	competition	0.0594	-0.355576	-0.355581	4	10	0.6666666666666666	1.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003865	competition	0.0536	-0.202044	-0.202046	2	6	0.7368421052631579	1.7
L_crispatus_ST1_GCF_000091765.1	MGYG000001929	mutualism	0.0050	0.029618	0.029588	10	7	0.6666666666666666	1.3
L_rhamnosus_GG_GCF_000026505.1	MGYG000004860	competition	0.0500	-0.363021	-0.363025	7	11	0.7272727272727273	1.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000001319	competition	0.1113	-0.028010	-0.028015	5	7	0.6792452830188679	2.0
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000872	mutualism	0.0381	0.113146	0.113144	7	4	0.821917808219178	1.3
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002205	mutualism	0.0333	0.119737	0.119735	7	6	0.8055555555555556	1.2
L_plantarum_WCFS1_GCF_000203855.3	MGYG000001148	competition	0.0325	-0.180175	-0.180170	7	7	0.7575757575757576	2.3
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002515	competition	0.0410	-0.166692	-0.166680	5	20	0.5	2.7
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002971	competition	0.0874	-0.141609	-0.141601	4	6	0.8064516129032258	1.3
L_crispatus_M247_GCF_026740115.1	MGYG000004645	mutualism	0.0739	0.009641	0.009642	3	6	0.7536231884057971	1.7
L_casei_ATCC393_GCF_000829055.1	MGYG000000092	competition	0.0353	-0.337606	-0.337603	10	8	0.6440677966101694	1.7
