species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
akk_GCF_026072915.1	MGYG000001410	mutualism	0.0234	0.008207	0.008187	9	6	0.5853658536585366	3.1
akk_GCF_023516715.1	MGYG000001712	competition	0.0979	-0.303156	-0.303150	4	4	0.7096774193548387	4.7
akk_GCF_018847015.1	MGYG000001211	mutualism	0.0084	0.092855	0.092852	7	11	0.5714285714285714	2.0
akk_GCF_018847135.1	MGYG000003891	mutualism	0.0180	0.287398	0.287256	6	7	0.6382978723404256	2.6
akk_GCF_018847135.1	MGYG000001532	mutualism	0.0268	0.085018	0.085014	5	9	0.5384615384615384	2.3
akk_GCF_026072915.1	MGYG000001238	mutualism	0.0225	0.015967	0.015966	6	7	0.6222222222222222	2.8
akk_GCF_000020225.1	MGYG000004039	competition	0.2689	-0.167918	-0.167915	5	7	0.6046511627906976	2.5
akk_GCF_026072915.1	MGYG000002164	mutualism	0.0120	0.261638	0.261621	8	3	0.37037037037037035	1.7
akk_GCF_018847015.1	MGYG000000373	mutualism	0.0096	0.399609	0.399567	8	6	0.5882352941176471	2.6
akk_GCF_018847015.1	MGYG000000647	competition	0.0373	-0.137695	-0.137684	4	11	0.5818181818181818	1.8
akk_GCF_018847015.1	MGYG000002064	competition	0.0406	-0.231058	-0.231069	6	9	0.5882352941176471	2.7
akk_GCF_018847155.1	MGYG000000106	competition	0.2449	-0.312587	-0.312583	1	8	0.6	3.1
akk_GCF_026072915.1	MGYG000002016	mutualism	0.0078	0.069341	0.069329	6	8	0.6530612244897959	2.6
akk_GCF_000020225.1	MGYG000000797	competition	0.3018	-0.285029	-0.285026	3	7	0.5652173913043478	2.0
akk_GCF_018847015.1	MGYG000002534	competition	0.0150	-0.179310	-0.179298	8	5	0.6451612903225806	5.3
akk_GCF_026072915.1	MGYG000003695	competition	0.0309	-0.165189	-0.165185	7	4	0.65	3.4
akk_GCF_018847155.1	MGYG000001784	mutualism	0.0040	0.093946	0.093939	7	4	0.7	2.5
akk_GCF_018847015.1	MGYG000004189	mutualism	0.0119	0.033138	0.033123	9	6	0.625	3.0
akk_GCF_018847135.1	MGYG000003669	mutualism	0.0104	0.073568	0.073549	4	10	0.5614035087719298	1.3
akk_GCF_023516715.1	MGYG000003547	mutualism	0.0220	0.182337	0.182321	6	8	0.5833333333333334	0.8
akk_GCF_018847155.1	MGYG000004341	mutualism	0.0969	0.084477	0.084463	2	11	0.5384615384615384	2.7
akk_GCF_023516715.1	MGYG000004547	competition	0.0304	-0.019676	-0.019680	5	4	0.7368421052631579	2.3
akk_GCF_018847155.1	MGYG000001437	competition	0.1061	-0.329677	-0.329671	6	4	0.6857142857142857	4.0
akk_GCF_023516715.1	MGYG000001649	mutualism	0.0364	0.060578	0.060582	6	8	0.5957446808510638	2.1
akk_GCF_018847155.1	MGYG000002640	competition	0.0737	-0.194483	-0.194490	5	6	0.6666666666666666	2.4
akk_GCF_018847155.1	MGYG000000635	mutualism	0.0426	0.015813	0.015463	4	8	0.5652173913043478	2.5
akk_GCF_026072915.1	MGYG000000489	competition	0.0460	-0.172422	-0.172419	7	5	0.6829268292682927	2.4
akk_GCF_000020225.1	MGYG000001591	competition	0.0316	-0.072934	-0.072928	7	5	0.5945945945945946	3.5
akk_GCF_026072915.1	MGYG000000536	mutualism	0.0457	0.072442	0.072446	7	11	0.5490196078431373	2.6
akk_GCF_000020225.1	MGYG000001494	competition	0.0358	-0.184210	-0.184226	3	6	0.6666666666666666	2.5
akk_GCF_018847155.1	MGYG000000686	competition	0.0590	-0.270196	-0.270191	1	13	0.5517241379310345	2.1
akk_GCF_018847135.1	MGYG000004616	mutualism	0.0401	0.134969	0.134956	6	6	0.5384615384615384	2.2
akk_GCF_018847015.1	MGYG000002584	competition	0.0315	-0.344666	-0.344662	4	2	0.7317073170731707	2.3
