species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
akk_GCF_023516715.1	MGYG000001211	mutualism	0.0071	0.172116	0.172105	5	9	0.6229508196721312	1.1
akk_GCF_018847155.1	MGYG000001996	competition	0.0322	-0.223172	-0.223167	4	7	0.6530612244897959	1.4
akk_GCF_000020225.1	MGYG000001519	competition	0.0560	-0.083778	-0.083793	3	7	0.68	1.2
akk_GCF_023516715.1	MGYG000000108	competition	0.0342	-0.272841	-0.272833	7	7	0.6486486486486487	2.9
akk_GCF_018847155.1	MGYG000004633	competition	0.0533	-0.215351	-0.215347	6	3	0.7906976744186046	1.6
akk_GCF_018847015.1	MGYG000000666	mutualism	0.0212	0.043747	0.043758	6	5	0.6666666666666666	1.4
akk_GCF_000020225.1	MGYG000001604	competition	0.0215	-0.153950	-0.153963	6	7	0.6818181818181818	1.6
akk_GCF_023516715.1	MGYG000004837	competition	0.3151	-0.285518	-0.285513	3	10	0.6521739130434783	1.7
akk_GCF_023516715.1	MGYG000002398	mutualism	0.0150	0.022286	0.022288	6	6	0.7804878048780488	2.1
akk_GCF_023516715.1	MGYG000003266	mutualism	0.0069	0.116644	0.116619	7	12	0.5862068965517241	1.2
akk_GCF_023516715.1	MGYG000004171	mutualism	0.0267	0.115088	0.115086	7	7	0.64	1.6
akk_GCF_026072915.1	MGYG000002384	mutualism	0.0229	0.013889	0.013881	5	12	0.6333333333333333	1.3
akk_GCF_018847155.1	MGYG000003183	competition	0.1027	-0.234648	-0.234644	2	7	0.64	1.5
akk_GCF_018847155.1	MGYG000003185	competition	0.0249	-0.048024	-0.048029	7	8	0.6666666666666666	1.3
akk_GCF_023516715.1	MGYG000003417	competition	0.0430	-0.050360	-0.050357	4	8	0.631578947368421	1.4
akk_GCF_018847135.1	MGYG000003837	mutualism	0.0118	0.026401	0.026399	6	10	0.6	1.2
akk_GCF_000020225.1	MGYG000004891	competition	0.0393	-0.093981	-0.093977	5	6	0.7111111111111111	1.6
akk_GCF_018847015.1	MGYG000004106	mutualism	0.0326	0.024855	0.024860	5	9	0.576271186440678	1.4
akk_GCF_000020225.1	MGYG000004779	mutualism	0.0162	0.019712	0.019709	5	8	0.7346938775510204	0.5
akk_GCF_023516715.1	MGYG000003591	mutualism	0.0376	0.203510	0.203506	5	10	0.5964912280701754	1.5
akk_GCF_018847135.1	MGYG000004565	competition	0.0272	-0.097258	-0.097273	4	12	0.5862068965517241	1.1
akk_GCF_018847015.1	MGYG000000102	competition	0.0425	-0.109808	-0.109791	7	8	0.6956521739130435	1.6
akk_GCF_026072915.1	MGYG000001860	mutualism	0.0294	0.099567	0.099566	6	6	0.6909090909090909	1.5
akk_GCF_000020225.1	MGYG000000522	mutualism	0.0169	0.276462	0.276454	7	5	0.25806451612903225	1.1
akk_GCF_000020225.1	MGYG000000435	competition	0.0458	-0.035286	-0.035287	3	11	0.6129032258064516	1.0
akk_GCF_023516715.1	MGYG000003169	mutualism	0.0044	0.364414	0.364378	7	10	0.6071428571428571	0.8
akk_GCF_023516715.1	MGYG000001842	mutualism	0.0231	0.010546	0.010549	4	6	0.6792452830188679	1.2
akk_GCF_018847015.1	MGYG000004875	mutualism	0.0248	0.017212	0.017210	3	5	0.6538461538461539	1.6
akk_GCF_026072915.1	MGYG000000775	mutualism	0.0015	0.180803	0.180331	5	8	0.6428571428571429	1.3
akk_GCF_023516715.1	MGYG000000331	competition	0.0256	-0.145883	-0.145878	5	8	0.6666666666666666	1.2
akk_GCF_000020225.1	MGYG000000223	competition	0.2426	-0.218472	-0.218468	5	8	0.723404255319149	1.9
akk_GCF_026072915.1	MGYG000002712	mutualism	0.0131	0.054737	0.054719	10	6	0.6792452830188679	1.2
akk_GCF_018847015.1	MGYG000001725	mutualism	0.0414	0.033135	0.033143	9	4	0.6521739130434783	1.4
akk_GCF_018847015.1	MGYG000004231	competition	0.0306	-0.056370	-0.056359	6	6	0.6274509803921569	1.5
akk_GCF_018847015.1	MGYG000002275	competition	0.0379	-0.179636	-0.179624	6	6	0.75	1.4
akk_GCF_018847155.1	MGYG000003681	competition	0.0126	-0.332880	-0.332873	7	6	0.7142857142857143	1.9
akk_GCF_018847135.1	MGYG000001539	mutualism	0.0430	0.010240	0.010244	9	7	0.6274509803921569	1.3
akk_GCF_018847015.1	MGYG000000805	mutualism	0.0167	0.001296	0.001294	4	5	0.6274509803921569	1.2
akk_GCF_018847135.1	MGYG000002258	mutualism	0.0101	0.231490	0.231483	6	9	0.7058823529411765	1.6
akk_GCF_018847015.1	MGYG000000673	competition	0.0225	-0.184596	-0.184599	4	10	0.6785714285714286	1.1
akk_GCF_023516715.1	MGYG000000429	mutualism	0.0106	0.149324	0.149314	5	12	0.5901639344262295	0.9
akk_GCF_018847015.1	MGYG000004815	competition	0.0431	-0.060426	-0.060415	4	8	0.6071428571428571	1.7
akk_GCF_023516715.1	MGYG000002082	competition	0.0292	-0.295825	-0.295829	7	9	0.6428571428571429	1.2
akk_GCF_000020225.1	MGYG000002437	competition	0.0376	-0.174660	-0.174655	6	8	0.6666666666666666	1.7
akk_GCF_018847015.1	MGYG000001833	competition	0.0469	-0.203385	-0.203369	5	4	0.75	1.6
akk_GCF_026072915.1	MGYG000000379	mutualism	0.0139	0.018210	0.018201	8	6	0.6938775510204082	1.2
akk_GCF_018847135.1	MGYG000001374	mutualism	0.0364	0.060882	0.060887	7	5	0.6808510638297872	1.3
akk_GCF_018847015.1	MGYG000002883	mutualism	0.0063	0.012000	0.011825	4	8	0.6538461538461539	1.5
akk_GCF_023516715.1	MGYG000002440	mutualism	0.0249	0.175131	0.175126	7	7	0.68	1.3
akk_GCF_018847135.1	MGYG000002662	mutualism	0.0188	0.022979	0.022962	3	9	0.6440677966101694	1.1
akk_GCF_026072915.1	MGYG000002021	mutualism	0.0067	0.124528	0.124512	5	12	0.625	1.0
akk_GCF_018847135.1	MGYG000004341	mutualism	0.0559	0.002095	0.002101	3	10	0.6101694915254238	1.5
akk_GCF_023516715.1	MGYG000003011	mutualism	0.0040	0.164847	0.164812	6	11	0.5714285714285714	1.2
akk_GCF_018847015.1	MGYG000002695	competition	0.0293	-0.038182	-0.038178	6	7	0.64	1.3
akk_GCF_026072915.1	MGYG000000466	mutualism	0.0014	0.271818	0.271659	6	16	0.53125	1.4
akk_GCF_018847135.1	MGYG000000353	competition	0.0217	-0.091024	-0.091033	7	9	0.631578947368421	1.2
akk_GCF_023516715.1	MGYG000002383	competition	0.3317	-0.318394	-0.318389	2	12	0.5454545454545454	1.6
akk_GCF_026072915.1	MGYG000004025	competition	0.0284	-0.022302	-0.022260	2	13	0.6	0.6
akk_GCF_023516715.1	MGYG000001059	mutualism	0.0042	0.173400	0.173378	9	11	0.6101694915254238	1.6
akk_GCF_018847015.1	MGYG000002079	competition	0.0343	-0.121100	-0.121117	6	8	0.5882352941176471	1.4
akk_GCF_018847155.1	MGYG000000077	competition	0.0447	-0.144824	-0.144822	6	6	0.6666666666666666	1.4
akk_GCF_018847155.1	MGYG000003834	competition	0.0941	-0.227107	-0.227102	4	6	0.64	1.9
akk_GCF_023516715.1	MGYG000003036	competition	0.0233	-0.149636	-0.149631	4	6	0.68	1.2
akk_GCF_000020225.1	MGYG000002745	competition	0.1195	-0.254331	-0.254328	4	9	0.6296296296296297	1.2
akk_GCF_018847135.1	MGYG000004075	mutualism	0.0176	0.381075	0.381052	6	7	0.7450980392156863	1.1
akk_GCF_000020225.1	MGYG000001757	competition	0.0701	-0.212462	-0.212477	4	9	0.6956521739130435	1.7
akk_GCF_018847015.1	MGYG000002378	competition	0.1127	-0.384780	-0.384769	0	0	0.8333333333333334	1.4
akk_GCF_000020225.1	MGYG000004028	competition	0.0932	-0.237416	-0.237413	7	11	0.6071428571428571	1.2
