species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003738	mutualism	0.0263	0.214098	0.214109	5	6	0.8055555555555556	0.9
L_casei_ATCC393_GCF_000829055.1	MGYG000000187	competition	0.3493	-0.412136	-0.412138	4	13	0.5263157894736842	1.6
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000099	mutualism	0.0317	0.093600	0.093604	5	11	0.7796610169491526	1.6
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000001093	competition	0.0259	-0.064290	-0.064310	10	8	0.7887323943661971	1.8
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004472	competition	0.0287	-0.051458	-0.051457	6	6	0.8064516129032258	1.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000345	mutualism	0.0564	0.041221	0.041221	5	11	0.6229508196721312	1.6
L_rhamnosus_GG_GCF_000026505.1	MGYG000003932	competition	0.0560	-0.239795	-0.239803	3	6	0.7547169811320755	2.8
L_crispatus_ST1_GCF_000091765.1	MGYG000002716	mutualism	0.0234	0.091906	0.092004	8	8	0.7714285714285715	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000004253	mutualism	0.0458	0.359514	0.359508	9	8	0.711864406779661	1.7
L_casei_ATCC393_GCF_000829055.1	MGYG000001929	competition	0.0605	-0.077228	-0.077261	5	9	0.6666666666666666	1.5
L_crispatus_M247_GCF_026740115.1	MGYG000002030	mutualism	0.0514	0.159356	0.159352	2	5	0.8571428571428571	0.9
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000268	competition	0.0651	-0.164736	-0.164723	6	13	0.711864406779661	2.0
L_reuteri_DSM20016_GCF_000016825.1	MGYG000004029	mutualism	0.0501	0.023021	0.023029	7	8	0.821917808219178	1.1
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000337	competition	0.0508	-0.342500	-0.342498	5	12	0.6666666666666666	2.8
L_rhamnosus_GG_GCF_000026505.1	MGYG000001238	mutualism	0.0550	0.060797	0.060793	7	7	0.631578947368421	1.9
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000289	mutualism	0.0070	0.166115	0.166124	8	8	0.6666666666666666	1.6
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000312	competition	0.0258	-0.288414	-0.288413	8	7	0.8253968253968254	1.8
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000001115	competition	0.0652	-0.346936	-0.346924	10	10	0.75	1.3
L_crispatus_M247_GCF_026740115.1	MGYG000003867	mutualism	0.0627	0.013230	0.013230	8	9	0.6666666666666666	1.9
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002841	competition	0.0283	-0.232912	-0.232922	7	7	0.8	1.4
L_paracasei_ATCC334_GCF_000014525.1	MGYG000000435	competition	0.1014	-0.278698	-0.278701	2	7	0.8285714285714286	1.3
L_paracasei_ATCC334_GCF_000014525.1	MGYG000001641	competition	0.0315	-0.135044	-0.135053	9	10	0.7575757575757576	1.2
L_paracasei_ATCC334_GCF_000014525.1	MGYG000003788	competition	0.1066	-0.145952	-0.145962	4	10	0.7761194029850746	1.1
L_crispatus_ST1_GCF_000091765.1	MGYG000000022	competition	0.0320	-0.279883	-0.279882	6	6	0.7457627118644068	1.7
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000001929	mutualism	0.0272	0.027578	0.027561	5	8	0.676923076923077	0.5
L_rhamnosus_GG_GCF_000026505.1	MGYG000004323	competition	0.1289	-0.195023	-0.195025	5	7	0.711864406779661	1.7
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004483	competition	0.0727	-0.312133	-0.312141	4	9	0.6779661016949152	1.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000951	mutualism	0.0293	0.186668	0.186656	7	11	0.6153846153846154	1.9
L_plantarum_WCFS1_GCF_000203855.3	MGYG000001918	competition	0.0401	-0.221092	-0.221092	5	11	0.7368421052631579	1.4
L_crispatus_M247_GCF_026740115.1	MGYG000002697	mutualism	0.0063	0.746664	0.746578	4	6	0.7575757575757576	1.1
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000000319	mutualism	0.0463	0.036484	0.036494	5	8	0.7714285714285715	1.6
L_rhamnosus_GG_GCF_000026505.1	MGYG000004070	mutualism	0.0095	0.368167	0.368140	9	9	0.7887323943661971	1.2
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002672	mutualism	0.0214	0.250824	0.228040	6	5	0.6428571428571429	1.6
L_rhamnosus_GG_GCF_000026505.1	MGYG000000598	competition	0.0720	-0.331694	-0.331696	8	8	0.711864406779661	1.4
L_casei_ATCC393_GCF_000829055.1	MGYG000002530	competition	0.0553	-0.236763	-0.236765	5	6	0.7241379310344828	1.4
