sys_label	metabolite	cpd	n_pairs	n_mut	frac
Akkermansia × UHGG (gut)	Galactose	cpd00108	4	12580	0.0003179650238473768
Akkermansia × UHGG (gut)	Adenine	cpd00128	2	12580	0.0001589825119236884
Akkermansia × UHGG (gut)	L-Asparagine	cpd00132	2	12580	0.0001589825119236884
Lactobacillus × UHGG (gut)	Ethanol	cpd00363	30824	45762	0.6735719592675146
Lactobacillus × UHGG (gut)	Pyruvate	cpd00020	25785	45762	0.5634587649141208
Lactobacillus × UHGG (gut)	Inosine	cpd00246	21143	45762	0.46202089069533675
Lactobacillus × UHGG (gut)	L-Malate	cpd00130	19984	45762	0.436694200428303
Lactobacillus × UHGG (gut)	Xanthosine	cpd01217	18173	45762	0.39711988112407676
Lactobacillus × UHGG (gut)	D-Ribose	cpd00105	14808	45762	0.3235872558017569
Lactobacillus × UHGG (gut)	L-Lactate	cpd00159	12188	45762	0.2663345133516892
Lactobacillus × UHGG (gut)	Guanosine	cpd00311	11561	45762	0.2526331891088676
Lactobacillus × UHGG (gut)	Cytidine	cpd00367	10274	45762	0.22450941829465496
Lactobacillus × UHGG (gut)	2-Oxoglutarate	cpd00024	10001	45762	0.218543769940125
Lactobacillus × UHGG (gut)	Succinate	cpd00036	7761	45762	0.16959486036449456
Lactobacillus × UHGG (gut)	Putrescine	cpd00118	7687	45762	0.16797779817315678
Lactobacillus × UHGG (gut)	XAN	cpd00309	7333	45762	0.16024212228486517
Lactobacillus × UHGG (gut)	D-Lactate	cpd00221	7191	45762	0.1571391110528386
Lactobacillus × UHGG (gut)	Methanol	cpd00116	7070	45762	0.15449499584808357
Lactobacillus × UHGG (gut)	Acetate	cpd00029	7049	45762	0.15403609982081204
Lactobacillus × UHGG (gut)	L-Proline	cpd00129	6812	45762	0.14885713037017612
Lactobacillus × UHGG (gut)	Ornithine	cpd00064	6397	45762	0.13978847078361958
Lactobacillus × UHGG (gut)	Glycine	cpd00033	5965	45762	0.13034832393689086
Lactobacillus × UHGG (gut)	MTTL	cpd00324	5724	45762	0.12508194571915562
Lactobacillus × UHGG (gut)	L-Glutamine	cpd00053	5451	45762	0.11911629736462567
Lactobacillus × UHGG (gut)	1,2-Propanediol	cpd00453	4741	45762	0.10360124120449281
Lactobacillus × UHGG (gut)	Propionate	cpd00141	4289	45762	0.09372405052226739
Lactobacillus × UHGG (gut)	Formate	cpd00047	3939	45762	0.08607578340107513
Lactobacillus × UHGG (gut)	Niacin	cpd00218	3830	45762	0.0836938944976181
Lactobacillus × UHGG (gut)	Uracil	cpd00092	2498	45762	0.05458677505353787
Lactobacillus × UHGG (gut)	Fumarate	cpd00106	2229	45762	0.04870853546610725
Lactobacillus × UHGG (gut)	(R)-1,2-Propanediol	cpd01861	2099	45762	0.0458677505353787
Lactobacillus × UHGG (gut)	L-Leucine	cpd00107	2069	45762	0.045212184782133645
Lactobacillus × UHGG (gut)	L-Isoleucine	cpd00322	2021	45762	0.04416327957694157
Lactobacillus × UHGG (gut)	L-Histidine	cpd00119	1969	45762	0.04302696560465015
Lactobacillus × UHGG (gut)	L-Glutamate	cpd00023	1930	45762	0.04217473012543158
Lactobacillus × UHGG (gut)	Sorbitol	cpd00588	1847	45762	0.04036099820812027
