system	ctrl_mut_pct	aprime_mut_pct	n_ctrl_mut	retained_mut	to_competition	to_neutral_commensal	retention_pct
Akkermansia	10.80	9.63	1718	1533	162	23	89.2
Lactobacillus	21.69	21.16	5753	5612	131	10	97.5
