model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	fba_time_s
MGYG000000012__gradient_L1_inulin_gapseq	2237	2730	971	R_EX_cpd11416_c0	1.396463	0.027136	0.056797
MGYG000000012__gradient_L2_fos_gapseq	2237	2730	971	R_EX_cpd11416_c0	1.396463	0.027136	0.057102
MGYG000000012__gradient_L3_gos_gapseq	2237	2730	971	R_EX_cpd11416_c0	1.692884	0.027136	0.056822
MGYG000000012__gradient_L4_xos_gapseq	2237	2730	971	R_EX_cpd11416_c0	1.850976	0.027136	0.055486
MGYG000000012__gradient_L5_pectin_gapseq	2237	2730	971	R_EX_cpd11416_c0	1.889620	0.027136	0.055008
MGYG000000012__gradient_L6_resistant_starch_gapseq	2237	2730	971	R_EX_cpd11416_c0	2.506176	0.027136	0.056383
MGYG000000012__gradient_L7_bglucan_gapseq	2237	2730	971	R_EX_cpd11416_c0	2.707743	0.027136	0.059217
MGYG000000012__gradient_L8_hmo_gapseq	2237	2730	971	R_EX_cpd11416_c0	2.707743	0.027136	0.059257
MGYG000000012__gradient_L9_mos_gapseq	2237	2730	971	R_EX_cpd11416_c0	2.837729	0.027136	0.057884
MGYG000000014__gradient_L0_base_gapseq	1784	2176	727	R_EX_cpd11416_c0	1.360836	0.030011	0.037644
MGYG000000014__gradient_L1_inulin_gapseq	1784	2176	727	R_EX_cpd11416_c0	1.654639	0.030011	0.038366
MGYG000000014__gradient_L2_fos_gapseq	1784	2176	727	R_EX_cpd11416_c0	1.654639	0.030011	0.038359
MGYG000000014__gradient_L3_gos_gapseq	1784	2176	727	R_EX_cpd11416_c0	1.963789	0.030011	0.039023
MGYG000000014__gradient_L4_xos_gapseq	1784	2176	727	R_EX_cpd11416_c0	2.122634	0.030011	0.038406
MGYG000000014__gradient_L5_pectin_gapseq	1784	2176	727	R_EX_cpd11416_c0	2.122634	0.030011	0.038349
MGYG000000014__gradient_L6_resistant_starch_gapseq	1784	2176	727	R_EX_cpd11416_c0	2.720846	0.030011	0.041992
MGYG000000014__gradient_L7_bglucan_gapseq	1784	2176	727	R_EX_cpd11416_c0	2.920251	0.030011	0.042084
MGYG000000014__gradient_L8_hmo_gapseq	1784	2176	727	R_EX_cpd11416_c0	3.070526	0.030011	0.041591
MGYG000000014__gradient_L9_mos_gapseq	1784	2176	727	R_EX_cpd11416_c0	3.209242	0.030011	0.039549
MGYG000000016__gradient_L0_base_gapseq	1354	1579	384	R_EX_cpd11416_c0	0.313768	0.015573	0.023525
MGYG000000016__gradient_L1_inulin_gapseq	1354	1579	384	R_EX_cpd11416_c0	0.449036	0.015573	0.022125
MGYG000000016__gradient_L2_fos_gapseq	1354	1579	384	R_EX_cpd11416_c0	0.449036	0.015573	0.022055
MGYG000000016__gradient_L3_gos_gapseq	1354	1579	384	R_EX_cpd11416_c0	0.675922	0.015573	0.023055
MGYG000000016__gradient_L4_xos_gapseq	1354	1579	384	R_EX_cpd11416_c0	0.718463	0.015573	0.022148
MGYG000000016__gradient_L5_pectin_gapseq	1354	1579	384	R_EX_cpd11416_c0	0.718463	0.015573	0.022237
MGYG000000016__gradient_L6_resistant_starch_gapseq	1354	1579	384	R_EX_cpd11416_c0	1.161959	0.015573	0.023235
MGYG000000016__gradient_L7_bglucan_gapseq	1354	1579	384	R_EX_cpd11416_c0	1.161959	0.015573	0.023260
MGYG000000016__gradient_L8_hmo_gapseq	1354	1579	384	R_EX_cpd11416_c0	1.161959	0.015573	0.023262
MGYG000000016__gradient_L9_mos_gapseq	1354	1579	384	R_EX_cpd11416_c0	1.161959	0.015573	0.023259
MGYG000000025__gradient_L0_base_gapseq	1894	2339	633	R_EX_cpd11416_c0	1.169447	0.022506	0.046013
MGYG000000025__gradient_L1_inulin_gapseq	1894	2339	633	R_EX_cpd11416_c0	1.419960	0.022506	0.045803
MGYG000000025__gradient_L2_fos_gapseq	1894	2339	633	R_EX_cpd11416_c0	1.419960	0.022506	0.045745
MGYG000000025__gradient_L3_gos_gapseq	1894	2339	633	R_EX_cpd11416_c0	1.703785	0.022506	0.045159
MGYG000000025__gradient_L4_xos_gapseq	1894	2339	633	R_EX_cpd11416_c0	1.855834	0.022506	0.046595
MGYG000000025__gradient_L5_pectin_gapseq	1894	2339	633	R_EX_cpd11416_c0	1.888778	0.022506	0.048419
MGYG000000025__gradient_L6_resistant_starch_gapseq	1894	2339	633	R_EX_cpd11416_c0	2.431285	0.022506	0.047228
MGYG000000025__gradient_L7_bglucan_gapseq	1894	2339	633	R_EX_cpd11416_c0	2.613176	0.022506	0.048771
MGYG000000025__gradient_L8_hmo_gapseq	1894	2339	633	R_EX_cpd11416_c0	2.613176	0.022506	0.048844
MGYG000000025__gradient_L9_mos_gapseq	1894	2339	633	R_EX_cpd11416_c0	2.730197	0.022506	0.049982
MGYG000000029__gradient_L0_base_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.015167
MGYG000000029__gradient_L1_inulin_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011553
MGYG000000029__gradient_L2_fos_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011686
MGYG000000029__gradient_L3_gos_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011621
MGYG000000029__gradient_L4_xos_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011710
MGYG000000029__gradient_L5_pectin_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011751
MGYG000000029__gradient_L6_resistant_starch_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011602
MGYG000000029__gradient_L7_bglucan_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.010977
MGYG000000029__gradient_L8_hmo_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011094
MGYG000000029__gradient_L9_mos_gapseq	1517	1812	531	R_EX_cpd11416_c0	-0.000000	0.017655	0.011354
MGYG000000037__gradient_L0_base_gapseq	1304	1539	386	R_EX_cpd11416_c0	0.959633	0.014559	0.019879
MGYG000000037__gradient_L1_inulin_gapseq	1304	1539	386	R_EX_cpd11416_c0	1.240441	0.014559	0.020291
MGYG000000037__gradient_L2_fos_gapseq	1304	1539	386	R_EX_cpd11416_c0	1.240441	0.014559	0.019996
MGYG000000037__gradient_L3_gos_gapseq	1304	1539	386	R_EX_cpd11416_c0	1.522826	0.014559	0.024822
MGYG000000037__gradient_L4_xos_gapseq	1304	1539	386	R_EX_cpd11416_c0	1.603820	0.014559	0.023322
MGYG000000037__gradient_L5_pectin_gapseq	1304	1539	386	R_EX_cpd11416_c0	1.603820	0.014559	0.021338
MGYG000000037__gradient_L6_resistant_starch_gapseq	1304	1539	386	R_EX_cpd11416_c0	2.210181	0.014559	0.021294
MGYG000000037__gradient_L7_bglucan_gapseq	1304	1539	386	R_EX_cpd11416_c0	2.413740	0.014559	0.021208
MGYG000000037__gradient_L8_hmo_gapseq	1304	1539	386	R_EX_cpd11416_c0	2.413740	0.014559	0.021370
MGYG000000037__gradient_L9_mos_gapseq	1304	1539	386	R_EX_cpd11416_c0	2.413740	0.014559	0.021416
MGYG000000040__gradient_L0_base_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008400
MGYG000000040__gradient_L1_inulin_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008601
MGYG000000040__gradient_L2_fos_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008565
MGYG000000040__gradient_L3_gos_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008618
MGYG000000040__gradient_L4_xos_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008613
MGYG000000040__gradient_L5_pectin_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008564
MGYG000000040__gradient_L6_resistant_starch_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008548
MGYG000000040__gradient_L7_bglucan_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008614
MGYG000000040__gradient_L8_hmo_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008596
MGYG000000040__gradient_L9_mos_gapseq	1293	1415	361	R_EX_cpd11416_c0	-0.000000	0.014283	0.008598
MGYG000000042__gradient_L0_base_gapseq	1458	1677	475	R_EX_cpd11416_c0	0.997553	0.016128	0.022748
MGYG000000042__gradient_L1_inulin_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.101564	0.016128	0.023558
MGYG000000042__gradient_L2_fos_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.101564	0.016128	0.023393
MGYG000000042__gradient_L3_gos_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.171723	0.016128	0.023898
MGYG000000042__gradient_L4_xos_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.243398	0.016128	0.023223
MGYG000000042__gradient_L5_pectin_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.243398	0.016128	0.023236
MGYG000000042__gradient_L6_resistant_starch_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.718540	0.016128	0.023491
MGYG000000042__gradient_L7_bglucan_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.881649	0.016128	0.025374
MGYG000000042__gradient_L8_hmo_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.881649	0.016128	0.025270
MGYG000000042__gradient_L9_mos_gapseq	1458	1677	475	R_EX_cpd11416_c0	1.985660	0.016128	0.024572
MGYG000000044__gradient_L0_base_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010063
MGYG000000044__gradient_L1_inulin_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010681
MGYG000000044__gradient_L2_fos_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010746
MGYG000000044__gradient_L3_gos_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010730
MGYG000000044__gradient_L4_xos_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010341
MGYG000000044__gradient_L5_pectin_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010147
MGYG000000044__gradient_L6_resistant_starch_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010856
MGYG000000044__gradient_L7_bglucan_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010809
MGYG000000044__gradient_L8_hmo_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010899
MGYG000000044__gradient_L9_mos_gapseq	1554	1820	517	R_EX_cpd11416_c0	-0.000000	0.016820	0.010476
MGYG000000047__gradient_L0_base_gapseq	1538	1795	512	R_EX_cpd11416_c0	1.250279	0.017264	0.025624
MGYG000000047__gradient_L1_inulin_gapseq	1538	1795	512	R_EX_cpd11416_c0	1.588195	0.017264	0.025192
MGYG000000047__gradient_L2_fos_gapseq	1538	1795	512	R_EX_cpd11416_c0	1.588195	0.017264	0.025142
MGYG000000047__gradient_L3_gos_gapseq	1538	1795	512	R_EX_cpd11416_c0	1.917663	0.017264	0.027059
MGYG000000047__gradient_L4_xos_gapseq	1538	1795	512	R_EX_cpd11416_c0	1.993694	0.017264	0.026834
MGYG000000047__gradient_L5_pectin_gapseq	1538	1795	512	R_EX_cpd11416_c0	2.057053	0.017264	0.025912
MGYG000000047__gradient_L6_resistant_starch_gapseq	1538	1795	512	R_EX_cpd11416_c0	2.794132	0.017264	0.026384
