model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	pfba_time_s
MGYG000000675__gradient_L0_base_gapseq	1481	1756	576	bio1	0.000000	1.537458	0.075993
MGYG000000675__gradient_L1_inulin_gapseq	1481	1756	576	bio1	0.000000	1.487152	0.082834
MGYG000000675__gradient_L2_fos_gapseq	1481	1756	576	bio1	0.000000	1.500612	0.080245
MGYG000000675__gradient_L3_gos_gapseq	1481	1756	576	bio1	1.522679	1.518073	7.407300
MGYG000000675__gradient_L4_xos_gapseq	1481	1756	576	bio1	1.599286	1.585119	7.254065
MGYG000000675__gradient_L5_pectin_gapseq	1481	1756	576	bio1	1.640744	1.569899	7.268555
MGYG000000675__gradient_L6_resistant_starch_gapseq	1481	1756	576	bio1	2.207190	1.582050	7.273947
MGYG000000675__gradient_L7_bglucan_gapseq	1481	1756	576	bio1	2.276100	1.459883	7.351913
MGYG000000675__gradient_L8_hmo_gapseq	1481	1756	576	bio1	2.276100	1.438227	7.266896
MGYG000000675__gradient_L9_mos_gapseq	1481	1756	576	bio1	2.276100	1.458453	7.352499
MGYG000000678__gradient_L0_base_gapseq	1165	1296	270	bio1	0.220192	1.068447	4.450204
MGYG000000678__gradient_L1_inulin_gapseq	1165	1296	270	bio1	0.464847	1.060740	4.230745
MGYG000000678__gradient_L2_fos_gapseq	1165	1296	270	bio1	0.464847	1.173854	4.210621
MGYG000000678__gradient_L3_gos_gapseq	1165	1296	270	bio1	0.549796	1.079994	4.315970
MGYG000000678__gradient_L4_xos_gapseq	1165	1296	270	bio1	0.549796	1.064274	4.195566
MGYG000000678__gradient_L5_pectin_gapseq	1165	1296	270	bio1	0.549796	1.150606	4.210185
MGYG000000678__gradient_L6_resistant_starch_gapseq	1165	1296	270	bio1	0.840037	1.089051	4.188585
MGYG000000678__gradient_L7_bglucan_gapseq	1165	1296	270	bio1	0.840037	1.122654	4.197285
MGYG000000678__gradient_L8_hmo_gapseq	1165	1296	270	bio1	0.840037	1.066357	4.294818
MGYG000000678__gradient_L9_mos_gapseq	1165	1296	270	bio1	0.953302	1.054127	4.187606
MGYG000000683__gradient_L0_base_gapseq	1172	1264	246	bio1	0.380655	1.148153	4.006357
MGYG000000683__gradient_L1_inulin_gapseq	1172	1264	246	bio1	0.523963	1.063123	4.125191
MGYG000000683__gradient_L2_fos_gapseq	1172	1264	246	bio1	0.523963	1.011143	4.034536
MGYG000000683__gradient_L3_gos_gapseq	1172	1264	246	bio1	0.523963	1.100289	3.993197
MGYG000000683__gradient_L4_xos_gapseq	1172	1264	246	bio1	0.523963	1.015034	4.082932
MGYG000000683__gradient_L5_pectin_gapseq	1172	1264	246	bio1	0.523963	1.008561	4.024473
MGYG000000683__gradient_L6_resistant_starch_gapseq	1172	1264	246	bio1	1.175562	1.032343	4.101209
MGYG000000683__gradient_L7_bglucan_gapseq	1172	1264	246	bio1	1.175562	1.013191	4.014417
MGYG000000683__gradient_L8_hmo_gapseq	1172	1264	246	bio1	1.175562	1.091837	4.017280
MGYG000000683__gradient_L9_mos_gapseq	1172	1264	246	bio1	1.175562	1.067000	4.175784
MGYG000000685__gradient_L0_base_gapseq	1365	1522	392	bio1	0.000000	1.274763	0.066284
MGYG000000685__gradient_L1_inulin_gapseq	1365	1522	392	bio1	0.000000	1.394522	0.063858
MGYG000000685__gradient_L2_fos_gapseq	1365	1522	392	bio1	0.000000	1.266063	0.067014
MGYG000000685__gradient_L3_gos_gapseq	1365	1522	392	bio1	0.881198	1.323693	5.518134
MGYG000000685__gradient_L4_xos_gapseq	1365	1522	392	bio1	0.881198	1.378228	5.489492
MGYG000000685__gradient_L5_pectin_gapseq	1365	1522	392	bio1	0.881198	1.269268	5.654269
MGYG000000685__gradient_L6_resistant_starch_gapseq	1365	1522	392	bio1	1.429947	1.264976	5.534169
MGYG000000685__gradient_L7_bglucan_gapseq	1365	1522	392	bio1	1.612928	1.382771	5.502469
MGYG000000685__gradient_L8_hmo_gapseq	1365	1522	392	bio1	1.612928	1.387642	5.529217
MGYG000000685__gradient_L9_mos_gapseq	1365	1522	392	bio1	1.739433	1.255093	5.864948
MGYG000000686__gradient_L0_base_gapseq	881	879	157	bio1	0.000000	0.669066	0.031086
MGYG000000686__gradient_L1_inulin_gapseq	881	879	157	bio1	0.000000	0.758867	0.026040
MGYG000000686__gradient_L2_fos_gapseq	881	879	157	bio1	0.000000	0.696154	0.031139
MGYG000000686__gradient_L3_gos_gapseq	881	879	157	bio1	0.000000	0.708197	0.032023
MGYG000000686__gradient_L4_xos_gapseq	881	879	157	bio1	1.413302	0.755339	1.912981
MGYG000000686__gradient_L5_pectin_gapseq	881	879	157	bio1	1.476491	0.690561	1.922216
MGYG000000686__gradient_L6_resistant_starch_gapseq	881	879	157	bio1	1.897746	0.691724	1.934449
MGYG000000686__gradient_L7_bglucan_gapseq	881	879	157	bio1	1.897746	0.782869	1.909489
MGYG000000686__gradient_L8_hmo_gapseq	881	879	157	bio1	1.897746	0.676075	1.922260
MGYG000000686__gradient_L9_mos_gapseq	881	879	157	bio1	2.032548	0.675793	2.028758
MGYG000000693__gradient_L0_base_gapseq	1164	1312	317	bio1	0.779040	1.122358	4.143516
MGYG000000693__gradient_L1_inulin_gapseq	1164	1312	317	bio1	1.072052	1.064628	4.230699
MGYG000000693__gradient_L2_fos_gapseq	1164	1312	317	bio1	1.072052	1.048940	4.178256
MGYG000000693__gradient_L3_gos_gapseq	1164	1312	317	bio1	1.366256	1.138055	4.258507
MGYG000000693__gradient_L4_xos_gapseq	1164	1312	317	bio1	1.366256	1.038732	4.382869
MGYG000000693__gradient_L5_pectin_gapseq	1164	1312	317	bio1	1.366256	1.060612	4.195167
MGYG000000693__gradient_L6_resistant_starch_gapseq	1164	1312	317	bio1	1.983638	1.110906	4.189534
MGYG000000693__gradient_L7_bglucan_gapseq	1164	1312	317	bio1	1.983638	1.034036	4.240106
MGYG000000693__gradient_L8_hmo_gapseq	1164	1312	317	bio1	1.983638	1.038378	4.153305
MGYG000000693__gradient_L9_mos_gapseq	1164	1312	317	bio1	2.126283	1.128711	4.132962
MGYG000000698__gradient_L0_base_gapseq	1051	1078	193	bio1	0.000000	0.869972	0.039970
MGYG000000698__gradient_L1_inulin_gapseq	1051	1078	193	bio1	0.211664	0.866851	2.933045
MGYG000000698__gradient_L2_fos_gapseq	1051	1078	193	bio1	0.211664	0.880767	2.860581
MGYG000000698__gradient_L3_gos_gapseq	1051	1078	193	bio1	0.218420	0.885006	2.957111
MGYG000000698__gradient_L4_xos_gapseq	1051	1078	193	bio1	0.218420	0.854461	2.902551
MGYG000000698__gradient_L5_pectin_gapseq	1051	1078	193	bio1	0.218420	0.869591	3.012228
MGYG000000698__gradient_L6_resistant_starch_gapseq	1051	1078	193	bio1	0.319753	0.888601	3.038454
MGYG000000698__gradient_L7_bglucan_gapseq	1051	1078	193	bio1	0.367042	0.881884	2.990808
MGYG000000698__gradient_L8_hmo_gapseq	1051	1078	193	bio1	0.367042	0.884429	2.888986
MGYG000000698__gradient_L9_mos_gapseq	1051	1078	193	bio1	0.367042	0.872999	2.979754
MGYG000000712__gradient_L0_base_gapseq	1341	1544	382	bio1	0.528796	1.381477	5.584919
MGYG000000712__gradient_L1_inulin_gapseq	1341	1544	382	bio1	0.676532	1.322332	5.623545
MGYG000000712__gradient_L2_fos_gapseq	1341	1544	382	bio1	0.676532	1.239958	5.831729
MGYG000000712__gradient_L3_gos_gapseq	1341	1544	382	bio1	0.944733	1.419182	5.619858
MGYG000000712__gradient_L4_xos_gapseq	1341	1544	382	bio1	0.944733	1.345168	5.583399
MGYG000000712__gradient_L5_pectin_gapseq	1341	1544	382	bio1	0.944733	1.339896	5.607568
MGYG000000712__gradient_L6_resistant_starch_gapseq	1341	1544	382	bio1	1.073931	1.267065	5.686735
MGYG000000712__gradient_L7_bglucan_gapseq	1341	1544	382	bio1	1.073931	1.262941	5.703093
MGYG000000712__gradient_L8_hmo_gapseq	1341	1544	382	bio1	1.073931	1.251675	5.603308
MGYG000000712__gradient_L9_mos_gapseq	1341	1544	382	bio1	1.073931	1.350417	5.579595
MGYG000000717__gradient_L0_base_gapseq	1328	1404	345	bio1	0.000000	1.182826	0.050639
MGYG000000717__gradient_L1_inulin_gapseq	1328	1404	345	bio1	0.238433	1.268558	4.821843
MGYG000000717__gradient_L2_fos_gapseq	1328	1404	345	bio1	0.238433	1.196801	5.012632
MGYG000000717__gradient_L3_gos_gapseq	1328	1404	345	bio1	0.238433	1.205948	4.801927
MGYG000000717__gradient_L4_xos_gapseq	1328	1404	345	bio1	0.238433	1.261603	4.775215
MGYG000000717__gradient_L5_pectin_gapseq	1328	1404	345	bio1	0.238433	1.208819	4.869004
MGYG000000717__gradient_L6_resistant_starch_gapseq	1328	1404	345	bio1	0.238433	1.167519	4.744568
MGYG000000717__gradient_L7_bglucan_gapseq	1328	1404	345	bio1	0.238433	1.257353	4.763638
MGYG000000717__gradient_L8_hmo_gapseq	1328	1404	345	bio1	0.238433	1.263706	4.731073
MGYG000000717__gradient_L9_mos_gapseq	1328	1404	345	bio1	0.238433	1.187812	4.881526
MGYG000000719__gradient_L0_base_gapseq	946	1014	202	bio1	0.000000	0.859114	0.038788
MGYG000000719__gradient_L1_inulin_gapseq	946	1014	202	bio1	0.000000	0.797591	0.037460
MGYG000000719__gradient_L2_fos_gapseq	946	1014	202	bio1	0.000000	0.791704	0.035315
MGYG000000719__gradient_L3_gos_gapseq	946	1014	202	bio1	0.000000	0.872960	0.042669
MGYG000000719__gradient_L4_xos_gapseq	946	1014	202	bio1	1.134891	0.882644	2.603154
MGYG000000719__gradient_L5_pectin_gapseq	946	1014	202	bio1	1.134891	0.802971	2.850805
MGYG000000719__gradient_L6_resistant_starch_gapseq	946	1014	202	bio1	1.276753	0.798570	2.605838
MGYG000000719__gradient_L7_bglucan_gapseq	946	1014	202	bio1	1.276753	0.826413	2.591640
MGYG000000719__gradient_L8_hmo_gapseq	946	1014	202	bio1	1.276753	0.873764	2.602978
MGYG000000719__gradient_L9_mos_gapseq	946	1014	202	bio1	1.276753	0.810382	2.572939
MGYG000000722__gradient_L0_base_gapseq	1069	1164	255	bio1	0.000000	0.925073	0.044048
MGYG000000722__gradient_L1_inulin_gapseq	1069	1164	255	bio1	0.000000	0.933551	0.046033
MGYG000000722__gradient_L2_fos_gapseq	1069	1164	255	bio1	0.000000	1.018540	0.050417
MGYG000000722__gradient_L3_gos_gapseq	1069	1164	255	bio1	0.527176	1.048839	3.379419
MGYG000000722__gradient_L4_xos_gapseq	1069	1164	255	bio1	0.527176	1.042921	3.385555
MGYG000000722__gradient_L5_pectin_gapseq	1069	1164	255	bio1	0.527176	0.914585	3.368582
MGYG000000722__gradient_L6_resistant_starch_gapseq	1069	1164	255	bio1	0.633095	1.050110	3.369800
MGYG000000722__gradient_L7_bglucan_gapseq	1069	1164	255	bio1	0.633095	0.924813	3.377773
MGYG000000722__gradient_L8_hmo_gapseq	1069	1164	255	bio1	0.633095	1.035968	3.364900
MGYG000000722__gradient_L9_mos_gapseq	1069	1164	255	bio1	0.739013	0.926515	3.461037
MGYG000000729__gradient_L0_base_gapseq	1102	1149	239	bio1	0.000000	0.928625	0.038170
MGYG000000729__gradient_L1_inulin_gapseq	1102	1149	239	bio1	0.228991	0.955794	3.398380
MGYG000000729__gradient_L2_fos_gapseq	1102	1149	239	bio1	0.228991	1.013600	3.297641
MGYG000000729__gradient_L3_gos_gapseq	1102	1149	239	bio1	0.228991	0.914181	3.399952
MGYG000000729__gradient_L4_xos_gapseq	1102	1149	239	bio1	0.228991	0.928349	3.348480
MGYG000000729__gradient_L5_pectin_gapseq	1102	1149	239	bio1	0.228991	0.911709	3.393587
MGYG000000729__gradient_L6_resistant_starch_gapseq	1102	1149	239	bio1	0.228991	0.934868	3.303060
MGYG000000729__gradient_L7_bglucan_gapseq	1102	1149	239	bio1	0.228991	1.025153	3.358557
MGYG000000729__gradient_L8_hmo_gapseq	1102	1149	239	bio1	0.228991	0.921206	3.302197
MGYG000000729__gradient_L9_mos_gapseq	1102	1149	239	bio1	0.228991	1.012963	3.337662
MGYG000000734__gradient_L0_base_gapseq	869	919	176	bio1	0.000000	0.680474	0.032871
MGYG000000734__gradient_L1_inulin_gapseq	869	919	176	bio1	0.000000	0.721081	0.029348
MGYG000000734__gradient_L2_fos_gapseq	869	919	176	bio1	0.000000	0.817989	0.033511
MGYG000000734__gradient_L3_gos_gapseq	869	919	176	bio1	0.000000	0.720818	0.032070
MGYG000000734__gradient_L4_xos_gapseq	869	919	176	bio1	0.000000	0.706369	0.029558
MGYG000000734__gradient_L5_pectin_gapseq	869	919	176	bio1	0.000000	0.726087	0.029650
MGYG000000734__gradient_L6_resistant_starch_gapseq	869	919	176	bio1	0.000000	0.839916	0.037302
MGYG000000734__gradient_L7_bglucan_gapseq	869	919	176	bio1	0.000000	0.699460	0.032173
MGYG000000734__gradient_L8_hmo_gapseq	869	919	176	bio1	0.000000	0.715290	0.033884
MGYG000000734__gradient_L9_mos_gapseq	869	919	176	bio1	0.000000	0.814723	0.029711
MGYG000000740__gradient_L0_base_gapseq	1182	1320	285	bio1	0.000000	1.044152	0.056914
MGYG000000740__gradient_L1_inulin_gapseq	1182	1320	285	bio1	0.000000	1.048941	0.056107
MGYG000000740__gradient_L2_fos_gapseq	1182	1320	285	bio1	0.000000	1.154733	0.062626
MGYG000000740__gradient_L3_gos_gapseq	1182	1320	285	bio1	0.453978	1.046945	4.285140
MGYG000000740__gradient_L4_xos_gapseq	1182	1320	285	bio1	0.467074	1.204784	4.288208
MGYG000000740__gradient_L5_pectin_gapseq	1182	1320	285	bio1	0.467074	1.050739	4.356114
MGYG000000740__gradient_L6_resistant_starch_gapseq	1182	1320	285	bio1	0.571841	1.030948	4.285635
MGYG000000740__gradient_L7_bglucan_gapseq	1182	1320	285	bio1	0.571841	1.165459	4.255109
MGYG000000740__gradient_L8_hmo_gapseq	1182	1320	285	bio1	0.571841	1.052347	4.351627
MGYG000000740__gradient_L9_mos_gapseq	1182	1320	285	bio1	0.667877	1.034155	4.241622
MGYG000000746__gradient_L0_base_gapseq	1045	1107	258	bio1	0.000000	0.858389	0.037907
MGYG000000746__gradient_L1_inulin_gapseq	1045	1107	258	bio1	0.000000	0.880554	0.044504
MGYG000000746__gradient_L2_fos_gapseq	1045	1107	258	bio1	0.000000	0.942022	0.045644
MGYG000000746__gradient_L3_gos_gapseq	1045	1107	258	bio1	0.000000	0.891450	0.042781
MGYG000000746__gradient_L4_xos_gapseq	1045	1107	258	bio1	0.000000	0.863939	0.042976
MGYG000000746__gradient_L5_pectin_gapseq	1045	1107	258	bio1	0.000000	0.978408	0.042051
MGYG000000746__gradient_L6_resistant_starch_gapseq	1045	1107	258	bio1	0.000000	0.887147	0.043265
MGYG000000746__gradient_L7_bglucan_gapseq	1045	1107	258	bio1	0.000000	0.870497	0.043491
MGYG000000746__gradient_L8_hmo_gapseq	1045	1107	258	bio1	0.000000	0.982092	0.047961
MGYG000000746__gradient_L9_mos_gapseq	1045	1107	258	bio1	0.000000	0.866028	0.043283
MGYG000000753__gradient_L0_base_gapseq	1054	1141	250	bio1	0.000000	1.016965	0.043076
MGYG000000753__gradient_L1_inulin_gapseq	1054	1141	250	bio1	0.000000	0.923277	0.042297
MGYG000000753__gradient_L2_fos_gapseq	1054	1141	250	bio1	0.000000	0.904935	0.112112
MGYG000000753__gradient_L3_gos_gapseq	1054	1141	250	bio1	0.000000	0.901459	0.045189
MGYG000000753__gradient_L4_xos_gapseq	1054	1141	250	bio1	0.293538	0.929574	3.194709
MGYG000000753__gradient_L5_pectin_gapseq	1054	1141	250	bio1	0.293538	1.002650	3.194404
MGYG000000753__gradient_L6_resistant_starch_gapseq	1054	1141	250	bio1	0.293538	0.913595	3.195047
MGYG000000753__gradient_L7_bglucan_gapseq	1054	1141	250	bio1	0.293538	0.994431	3.211697
MGYG000000753__gradient_L8_hmo_gapseq	1054	1141	250	bio1	0.293538	0.910963	3.201519
MGYG000000753__gradient_L9_mos_gapseq	1054	1141	250	bio1	0.293538	0.995414	3.200315
MGYG000000764__gradient_L0_base_gapseq	1108	1189	251	bio1	0.133494	0.950453	3.669740
MGYG000000764__gradient_L1_inulin_gapseq	1108	1189	251	bio1	0.241644	0.939830	3.569961
MGYG000000764__gradient_L2_fos_gapseq	1108	1189	251	bio1	0.241644	1.079332	3.579908
MGYG000000764__gradient_L3_gos_gapseq	1108	1189	251	bio1	0.319826	0.941473	3.554947
MGYG000000764__gradient_L4_xos_gapseq	1108	1189	251	bio1	0.319826	1.038289	3.551717
MGYG000000764__gradient_L5_pectin_gapseq	1108	1189	251	bio1	0.319826	0.933340	3.638463
MGYG000000764__gradient_L6_resistant_starch_gapseq	1108	1189	251	bio1	0.424068	0.937206	3.551036
MGYG000000764__gradient_L7_bglucan_gapseq	1108	1189	251	bio1	0.424068	0.968622	3.635983
MGYG000000764__gradient_L8_hmo_gapseq	1108	1189	251	bio1	0.424068	0.953023	3.704783
MGYG000000764__gradient_L9_mos_gapseq	1108	1189	251	bio1	0.528311	1.029365	3.581985
MGYG000000772__gradient_L0_base_gapseq	1143	1288	295	bio1	0.488529	1.025543	4.093949
MGYG000000772__gradient_L1_inulin_gapseq	1143	1288	295	bio1	0.716198	1.153607	4.060131
MGYG000000772__gradient_L2_fos_gapseq	1143	1288	295	bio1	0.716198	1.023670	4.119095
MGYG000000772__gradient_L3_gos_gapseq	1143	1288	295	bio1	0.943867	1.031520	4.054876
MGYG000000772__gradient_L4_xos_gapseq	1143	1288	295	bio1	0.943867	1.139465	4.055178
MGYG000000772__gradient_L5_pectin_gapseq	1143	1288	295	bio1	0.943867	1.083319	4.272156
MGYG000000772__gradient_L6_resistant_starch_gapseq	1143	1288	295	bio1	1.425918	1.020683	4.049412
MGYG000000772__gradient_L7_bglucan_gapseq	1143	1288	295	bio1	1.425918	1.104014	4.076349
MGYG000000772__gradient_L8_hmo_gapseq	1143	1288	295	bio1	1.425918	1.014620	4.163314
MGYG000000772__gradient_L9_mos_gapseq	1143	1288	295	bio1	1.538676	1.029272	4.090872
MGYG000000773__gradient_L0_base_gapseq	1055	1164	265	bio1	0.000000	0.922539	0.042459
MGYG000000773__gradient_L1_inulin_gapseq	1055	1164	265	bio1	0.000000	0.920967	0.042560
MGYG000000773__gradient_L2_fos_gapseq	1055	1164	265	bio1	0.000000	0.997875	0.043194
MGYG000000773__gradient_L3_gos_gapseq	1055	1164	265	bio1	0.000000	0.928716	0.055397
MGYG000000773__gradient_L4_xos_gapseq	1055	1164	265	bio1	0.000000	0.925566	0.138442
MGYG000000773__gradient_L5_pectin_gapseq	1055	1164	265	bio1	0.000000	0.922164	0.046518
MGYG000000773__gradient_L6_resistant_starch_gapseq	1055	1164	265	bio1	0.000000	0.923175	0.047546
MGYG000000773__gradient_L7_bglucan_gapseq	1055	1164	265	bio1	0.000000	1.040584	0.049104
MGYG000000773__gradient_L8_hmo_gapseq	1055	1164	265	bio1	0.000000	0.947962	0.044748
MGYG000000773__gradient_L9_mos_gapseq	1055	1164	265	bio1	0.000000	0.923459	0.052080
MGYG000000782__gradient_L0_base_gapseq	1287	1390	338	bio1	0.383244	1.155092	4.887241
MGYG000000782__gradient_L1_inulin_gapseq	1287	1390	338	bio1	0.537379	1.136636	4.809247
MGYG000000782__gradient_L2_fos_gapseq	1287	1390	338	bio1	0.537379	1.229516	4.788760
MGYG000000782__gradient_L3_gos_gapseq	1287	1390	338	bio1	0.537379	1.194346	5.041925
MGYG000000782__gradient_L4_xos_gapseq	1287	1390	338	bio1	0.599385	1.119323	4.858577
MGYG000000782__gradient_L5_pectin_gapseq	1287	1390	338	bio1	0.599385	1.228172	4.814458
MGYG000000782__gradient_L6_resistant_starch_gapseq	1287	1390	338	bio1	0.714540	1.148083	4.935477
MGYG000000782__gradient_L7_bglucan_gapseq	1287	1390	338	bio1	0.714540	1.136406	4.823034
MGYG000000782__gradient_L8_hmo_gapseq	1287	1390	338	bio1	0.714540	1.209725	4.819659
MGYG000000782__gradient_L9_mos_gapseq	1287	1390	338	bio1	0.714540	1.142294	4.923489
MGYG000000783__gradient_L0_base_gapseq	1331	1484	389	bio1	0.487625	1.332543	5.425448
MGYG000000783__gradient_L1_inulin_gapseq	1331	1484	389	bio1	0.618534	1.308429	5.434011
MGYG000000783__gradient_L2_fos_gapseq	1331	1484	389	bio1	0.618534	1.216788	5.766735
MGYG000000783__gradient_L3_gos_gapseq	1331	1484	389	bio1	0.709352	1.222114	5.400139
MGYG000000783__gradient_L4_xos_gapseq	1331	1484	389	bio1	0.709352	1.327638	5.417734
MGYG000000783__gradient_L5_pectin_gapseq	1331	1484	389	bio1	0.724079	1.320250	5.410500
MGYG000000783__gradient_L6_resistant_starch_gapseq	1331	1484	389	bio1	0.724079	1.244827	5.483488
MGYG000000783__gradient_L7_bglucan_gapseq	1331	1484	389	bio1	0.724079	1.236434	5.407835
MGYG000000783__gradient_L8_hmo_gapseq	1331	1484	389	bio1	0.724079	1.335109	5.449740
MGYG000000783__gradient_L9_mos_gapseq	1331	1484	389	bio1	0.724079	1.340156	5.448255
MGYG000000789__gradient_L0_base_gapseq	1160	1298	311	bio1	0.602600	1.029797	4.128470
MGYG000000789__gradient_L1_inulin_gapseq	1160	1298	311	bio1	0.834073	1.150110	4.127527
MGYG000000789__gradient_L2_fos_gapseq	1160	1298	311	bio1	0.834073	1.125250	4.379445
MGYG000000789__gradient_L3_gos_gapseq	1160	1298	311	bio1	1.033692	1.051723	4.141154
MGYG000000789__gradient_L4_xos_gapseq	1160	1298	311	bio1	1.033692	1.141341	4.162389
MGYG000000789__gradient_L5_pectin_gapseq	1160	1298	311	bio1	1.033692	1.032637	4.139353
MGYG000000789__gradient_L6_resistant_starch_gapseq	1160	1298	311	bio1	1.509892	1.141135	4.143366
MGYG000000789__gradient_L7_bglucan_gapseq	1160	1298	311	bio1	1.509892	1.066885	4.212602
MGYG000000789__gradient_L8_hmo_gapseq	1160	1298	311	bio1	1.509892	1.048334	4.125622
MGYG000000789__gradient_L9_mos_gapseq	1160	1298	311	bio1	1.621393	1.137661	4.106002
MGYG000000801__gradient_L0_base_gapseq	1156	1288	319	bio1	0.742101	1.023323	4.230022
MGYG000000801__gradient_L1_inulin_gapseq	1156	1288	319	bio1	1.036938	1.078320	4.109829
MGYG000000801__gradient_L2_fos_gapseq	1156	1288	319	bio1	1.036938	1.224264	4.234567
MGYG000000801__gradient_L3_gos_gapseq	1156	1288	319	bio1	1.331298	1.062416	4.242804
MGYG000000801__gradient_L4_xos_gapseq	1156	1288	319	bio1	1.331298	1.044663	4.124648
MGYG000000801__gradient_L5_pectin_gapseq	1156	1288	319	bio1	1.331298	1.113498	4.132500
MGYG000000801__gradient_L6_resistant_starch_gapseq	1156	1288	319	bio1	1.949006	1.041603	4.135046
MGYG000000801__gradient_L7_bglucan_gapseq	1156	1288	319	bio1	1.949006	1.167423	4.134052
MGYG000000801__gradient_L8_hmo_gapseq	1156	1288	319	bio1	1.949006	1.035191	4.193066
MGYG000000801__gradient_L9_mos_gapseq	1156	1288	319	bio1	2.091726	1.047249	4.103466
MGYG000000802__gradient_L0_base_gapseq	1158	1270	322	bio1	0.797971	1.103867	3.881263
MGYG000000802__gradient_L1_inulin_gapseq	1158	1270	322	bio1	0.946002	1.029885	3.942308
MGYG000000802__gradient_L2_fos_gapseq	1158	1270	322	bio1	0.946002	1.124616	4.022077
MGYG000000802__gradient_L3_gos_gapseq	1158	1270	322	bio1	1.242098	1.025449	4.019546
MGYG000000802__gradient_L4_xos_gapseq	1158	1270	322	bio1	1.242098	1.025045	3.887122
MGYG000000802__gradient_L5_pectin_gapseq	1158	1270	322	bio1	1.242098	1.143786	3.912199
MGYG000000802__gradient_L6_resistant_starch_gapseq	1158	1270	322	bio1	1.859807	1.018141	3.908828
MGYG000000802__gradient_L7_bglucan_gapseq	1158	1270	322	bio1	1.859807	1.116112	3.897934
MGYG000000802__gradient_L8_hmo_gapseq	1158	1270	322	bio1	1.859807	1.017847	3.970998
MGYG000000802__gradient_L9_mos_gapseq	1158	1270	322	bio1	2.002526	1.005900	3.866103
MGYG000000807__gradient_L0_base_gapseq	1174	1251	307	bio1	0.425683	1.146428	4.049690
MGYG000000807__gradient_L1_inulin_gapseq	1174	1251	307	bio1	0.561905	1.051051	4.326414
MGYG000000807__gradient_L2_fos_gapseq	1174	1251	307	bio1	0.561905	1.055592	4.044404
MGYG000000807__gradient_L3_gos_gapseq	1174	1251	307	bio1	0.561905	1.154050	4.082848
MGYG000000807__gradient_L4_xos_gapseq	1174	1251	307	bio1	0.561905	1.062722	4.055936
MGYG000000807__gradient_L5_pectin_gapseq	1174	1251	307	bio1	0.561905	1.154831	4.046812
MGYG000000807__gradient_L6_resistant_starch_gapseq	1174	1251	307	bio1	0.698126	1.036846	4.140133
MGYG000000807__gradient_L7_bglucan_gapseq	1174	1251	307	bio1	0.698126	1.038169	4.049769
MGYG000000807__gradient_L8_hmo_gapseq	1174	1251	307	bio1	0.698126	1.134473	4.050652
MGYG000000807__gradient_L9_mos_gapseq	1174	1251	307	bio1	0.698126	1.049835	4.110140
MGYG000000810__gradient_L0_base_gapseq	1319	1397	329	bio1	0.000000	1.173943	0.052969
MGYG000000810__gradient_L1_inulin_gapseq	1319	1397	329	bio1	0.000000	1.266814	0.050997
MGYG000000810__gradient_L2_fos_gapseq	1319	1397	329	bio1	0.000000	1.172134	0.052951
MGYG000000810__gradient_L3_gos_gapseq	1319	1397	329	bio1	0.000000	1.282988	0.052659
MGYG000000810__gradient_L4_xos_gapseq	1319	1397	329	bio1	0.000000	1.200188	0.051255
MGYG000000810__gradient_L5_pectin_gapseq	1319	1397	329	bio1	0.000000	1.274071	0.051150
MGYG000000810__gradient_L6_resistant_starch_gapseq	1319	1397	329	bio1	0.000000	1.176202	0.047127
MGYG000000810__gradient_L7_bglucan_gapseq	1319	1397	329	bio1	0.000000	1.272788	0.057103
MGYG000000810__gradient_L8_hmo_gapseq	1319	1397	329	bio1	0.000000	1.187322	0.051696
MGYG000000810__gradient_L9_mos_gapseq	1319	1397	329	bio1	0.000000	1.284018	0.054867
MGYG000000813__gradient_L0_base_gapseq	1196	1282	234	bio1	0.000000	1.016141	0.061102
MGYG000000813__gradient_L1_inulin_gapseq	1196	1282	234	bio1	0.561219	1.173863	4.055902
MGYG000000813__gradient_L2_fos_gapseq	1196	1282	234	bio1	0.561219	1.056835	4.057480
MGYG000000813__gradient_L3_gos_gapseq	1196	1282	234	bio1	0.662980	1.220976	4.060367
MGYG000000813__gradient_L4_xos_gapseq	1196	1282	234	bio1	0.662980	1.027082	4.166305
MGYG000000813__gradient_L5_pectin_gapseq	1196	1282	234	bio1	0.662980	1.018717	4.080984
MGYG000000813__gradient_L6_resistant_starch_gapseq	1196	1282	234	bio1	1.288966	1.089957	4.096582
MGYG000000813__gradient_L7_bglucan_gapseq	1196	1282	234	bio1	1.288966	1.043841	4.116922
MGYG000000813__gradient_L8_hmo_gapseq	1196	1282	234	bio1	1.288966	1.164799	4.212998
MGYG000000813__gradient_L9_mos_gapseq	1196	1282	234	bio1	1.424647	1.047556	4.169727
MGYG000000840__gradient_L0_base_gapseq	1315	1401	336	bio1	0.301088	1.246423	4.605483
MGYG000000840__gradient_L1_inulin_gapseq	1315	1401	336	bio1	0.416103	1.163506	4.683595
MGYG000000840__gradient_L2_fos_gapseq	1315	1401	336	bio1	0.416103	1.164947	4.552795
MGYG000000840__gradient_L3_gos_gapseq	1315	1401	336	bio1	0.416103	1.245237	4.566929
MGYG000000840__gradient_L4_xos_gapseq	1315	1401	336	bio1	0.416103	1.170536	4.676193
