model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	pfba_time_s
MGYG000000014__gradient_L2_fos_gapseq	1784	2176	727	bio1	1.654639	1.936765	10.800941
MGYG000000014__gradient_L3_gos_gapseq	1784	2176	727	bio1	1.963789	2.071677	10.729663
MGYG000000014__gradient_L4_xos_gapseq	1784	2176	727	bio1	2.122634	1.914782	10.906712
MGYG000000014__gradient_L5_pectin_gapseq	1784	2176	727	bio1	2.122634	1.793525	10.857348
MGYG000000014__gradient_L6_resistant_starch_gapseq	1784	2176	727	bio1	2.720846	1.799486	10.950219
MGYG000000014__gradient_L7_bglucan_gapseq	1784	2176	727	bio1	2.920251	1.822494	11.131801
MGYG000000014__gradient_L8_hmo_gapseq	1784	2176	727	bio1	3.070526	1.979594	10.942554
MGYG000000014__gradient_L9_mos_gapseq	1784	2176	727	bio1	3.209242	1.946069	10.837263
MGYG000000016__gradient_L0_base_gapseq	1354	1579	384	bio1	0.313768	1.354677	6.013289
MGYG000000016__gradient_L1_inulin_gapseq	1354	1579	384	bio1	0.449036	1.348862	5.959991
MGYG000000016__gradient_L2_fos_gapseq	1354	1579	384	bio1	0.449036	1.388615	5.941281
MGYG000000016__gradient_L3_gos_gapseq	1354	1579	384	bio1	0.675922	1.396076	5.986926
MGYG000000016__gradient_L4_xos_gapseq	1354	1579	384	bio1	0.718463	1.345440	6.175266
MGYG000000016__gradient_L5_pectin_gapseq	1354	1579	384	bio1	0.718463	1.363401	6.323007
MGYG000000016__gradient_L6_resistant_starch_gapseq	1354	1579	384	bio1	1.161959	1.331977	5.959959
MGYG000000016__gradient_L7_bglucan_gapseq	1354	1579	384	bio1	1.161959	1.413061	5.953899
MGYG000000016__gradient_L8_hmo_gapseq	1354	1579	384	bio1	1.161959	1.444062	5.953783
MGYG000000016__gradient_L9_mos_gapseq	1354	1579	384	bio1	1.161959	1.351172	6.089734
MGYG000000025__gradient_L0_base_gapseq	1894	2339	633	bio1	1.169447	2.004178	12.851124
MGYG000000025__gradient_L1_inulin_gapseq	1894	2339	633	bio1	1.419960	1.987822	12.999352
MGYG000000025__gradient_L2_fos_gapseq	1894	2339	633	bio1	1.419960	1.991272	13.242337
MGYG000000025__gradient_L3_gos_gapseq	1894	2339	633	bio1	1.703785	1.942227	13.058805
MGYG000000025__gradient_L4_xos_gapseq	1894	2339	633	bio1	1.855834	2.009851	13.006647
MGYG000000025__gradient_L5_pectin_gapseq	1894	2339	633	bio1	1.888778	1.990146	12.995599
MGYG000000025__gradient_L6_resistant_starch_gapseq	1894	2339	633	bio1	2.431285	2.001534	13.211005
MGYG000000025__gradient_L7_bglucan_gapseq	1894	2339	633	bio1	2.613176	1.977969	12.900467
MGYG000000025__gradient_L8_hmo_gapseq	1894	2339	633	bio1	2.613176	1.938209	12.927206
MGYG000000025__gradient_L9_mos_gapseq	1894	2339	633	bio1	2.730197	1.953701	12.974738
MGYG000000029__gradient_L0_base_gapseq	1517	1812	531	bio1	0.000000	1.493328	0.094748
MGYG000000029__gradient_L1_inulin_gapseq	1517	1812	531	bio1	0.000000	1.623727	0.095815
MGYG000000029__gradient_L2_fos_gapseq	1517	1812	531	bio1	0.000000	1.528435	0.090892
MGYG000000029__gradient_L3_gos_gapseq	1517	1812	531	bio1	0.000000	1.657543	0.103246
MGYG000000029__gradient_L4_xos_gapseq	1517	1812	531	bio1	0.000000	1.608665	0.096385
MGYG000000029__gradient_L5_pectin_gapseq	1517	1812	531	bio1	0.000000	1.522480	0.102765
MGYG000000029__gradient_L6_resistant_starch_gapseq	1517	1812	531	bio1	0.000000	1.643462	0.096256
MGYG000000029__gradient_L7_bglucan_gapseq	1517	1812	531	bio1	0.000000	1.497098	0.232655
MGYG000000029__gradient_L8_hmo_gapseq	1517	1812	531	bio1	0.000000	1.499414	0.096811
MGYG000000029__gradient_L9_mos_gapseq	1517	1812	531	bio1	0.000000	1.640471	0.101033
MGYG000000037__gradient_L0_base_gapseq	1304	1539	386	bio1	0.959633	1.278351	5.683848
MGYG000000037__gradient_L1_inulin_gapseq	1304	1539	386	bio1	1.240441	1.396264	5.643482
MGYG000000037__gradient_L2_fos_gapseq	1304	1539	386	bio1	1.240441	1.400533	5.674141
MGYG000000037__gradient_L3_gos_gapseq	1304	1539	386	bio1	1.522825	1.410269	5.789615
MGYG000000037__gradient_L4_xos_gapseq	1304	1539	386	bio1	1.603820	1.350612	5.835950
MGYG000000037__gradient_L5_pectin_gapseq	1304	1539	386	bio1	1.603820	1.313752	5.636527
MGYG000000037__gradient_L6_resistant_starch_gapseq	1304	1539	386	bio1	2.210181	1.405406	5.601641
MGYG000000037__gradient_L7_bglucan_gapseq	1304	1539	386	bio1	2.413740	1.372990	5.653651
MGYG000000037__gradient_L8_hmo_gapseq	1304	1539	386	bio1	2.413740	1.316597	5.740317
MGYG000000037__gradient_L9_mos_gapseq	1304	1539	386	bio1	2.413740	1.325305	5.681757
MGYG000000040__gradient_L0_base_gapseq	1293	1415	361	bio1	0.000000	1.325078	0.067336
MGYG000000040__gradient_L1_inulin_gapseq	1293	1415	361	bio1	0.000000	1.211096	0.067901
