cpd	name	class	level	n_mut_pairs	n_export	prevalence
cpd00039	L-Lysine	amino acid	L7	4649	35	0.75
cpd00029	Acetate	organic acid	L7	4649	315	6.78
cpd00033	Glycine	amino acid	L7	4649	557	11.98
cpd00311	Guanosine	nucleoside	L7	4649	240	5.16
cpd00092	Uracil	other	L7	4649	54	1.16
cpd00024	2-Oxoglutarate	organic acid	L7	4649	170	3.66
cpd00019	S-Adenosyl-homocysteine	amino acid	L7	4649	9	0.19
cpd00453	1,2-Propanediol	alcohol/diol	L7	4649	492	10.58
cpd00047	Formate	organic acid	L7	4649	344	7.40
cpd00324	MTTL	other	L7	4649	458	9.85
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L7	4649	212	4.56
cpd00129	L-Proline	amino acid	L7	4649	171	3.68
cpd00141	Propionate	organic acid	L7	4649	401	8.63
cpd00588	Sorbitol	alcohol/diol	L7	4649	283	6.09
cpd00306	Xylitol	other	L7	4649	73	1.57
cpd00137	Citrate	organic acid	L7	4649	1	0.02
cpd00121	L-Inositol	other	L7	4649	8	0.17
cpd00794	TRHL	other	L7	4649	37	0.80
cpd00307	Cytosine	other	L7	4649	14	0.30
cpd00220	Riboflavin	other	L7	4649	6	0.13
cpd00041	L-Aspartate	amino acid	L7	4649	6	0.13
cpd00054	L-Serine	amino acid	L7	4649	2	0.04
cpd00108	Galactose	sugar	L7	4649	13	0.28
cpd00371	Propanal	other	L7	4649	13	0.28
cpd00161	L-Threonine	amino acid	L7	4649	1	0.02
cpd00065	L-Tryptophan	amino acid	L7	4649	18	0.39
cpd00359	indol	other	L7	4649	26	0.56
cpd00017	S-Adenosyl-L-methionine	amino acid	L7	4649	28	0.60
cpd00281	GABA	other	L7	4649	23	0.49
cpd00106	Fumarate	organic acid	L7	4649	169	3.64
cpd00117	D-Alanine	amino acid	L7	4649	34	0.73
cpd00035	L-Alanine	amino acid	L7	4649	28	0.60
cpd00218	Niacin	other	L7	4649	4	0.09
cpd00064	Ornithine	other	L7	4649	9	0.19
cpd00222	GLCN	other	L7	4649	26	0.56
cpd03846	octanoate	other	L7	4649	1	0.02
cpd00644	PAN	other	L7	4649	1	0.02
cpd00246	Inosine	nucleoside	L8	4646	2123	45.70
cpd00159	L-Lactate	organic acid	L8	4646	1280	27.55
cpd00363	Ethanol	alcohol/diol	L8	4646	2950	63.50
cpd00116	Methanol	alcohol/diol	L8	4646	700	15.07
cpd00036	Succinate	organic acid	L8	4646	854	18.38
cpd00130	L-Malate	organic acid	L8	4646	2050	44.12
cpd00221	D-Lactate	organic acid	L8	4646	748	16.10
cpd00118	Putrescine	other	L8	4646	671	14.44
cpd00020	Pyruvate	organic acid	L8	4646	1918	41.28
cpd00105	D-Ribose	sugar	L8	4646	1010	21.74
cpd00367	Cytidine	nucleoside	L8	4646	341	7.34
cpd01217	Xanthosine	nucleoside	L8	4646	295	6.35
cpd00084	L-Cysteine	amino acid	L8	4646	10	0.22
cpd00309	XAN	other	L8	4646	255	5.49
cpd00053	L-Glutamine	amino acid	L8	4646	538	11.58
cpd00139	Glycolate	organic acid	L8	4646	42	0.90
cpd00023	L-Glutamate	amino acid	L8	4646	105	2.26
cpd00039	L-Lysine	amino acid	L8	4646	35	0.75
cpd00029	Acetate	organic acid	L8	4646	309	6.65
cpd00033	Glycine	amino acid	L8	4646	555	11.95
cpd00311	Guanosine	nucleoside	L8	4646	240	5.17
cpd00092	Uracil	other	L8	4646	53	1.14
cpd00024	2-Oxoglutarate	organic acid	L8	4646	170	3.66
cpd00019	S-Adenosyl-homocysteine	amino acid	L8	4646	9	0.19
cpd00453	1,2-Propanediol	alcohol/diol	L8	4646	499	10.74
cpd00047	Formate	organic acid	L8	4646	345	7.43
cpd00324	MTTL	other	L8	4646	456	9.81
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L8	4646	209	4.50
cpd00129	L-Proline	amino acid	L8	4646	170	3.66
cpd00141	Propionate	organic acid	L8	4646	401	8.63
cpd00588	Sorbitol	alcohol/diol	L8	4646	283	6.09
cpd00306	Xylitol	other	L8	4646	73	1.57
cpd00137	Citrate	organic acid	L8	4646	1	0.02
cpd00121	L-Inositol	other	L8	4646	8	0.17
cpd00794	TRHL	other	L8	4646	37	0.80
cpd00307	Cytosine	other	L8	4646	14	0.30
cpd00220	Riboflavin	other	L8	4646	6	0.13
cpd00041	L-Aspartate	amino acid	L8	4646	6	0.13
cpd00054	L-Serine	amino acid	L8	4646	2	0.04
cpd00108	Galactose	sugar	L8	4646	12	0.26
cpd00371	Propanal	other	L8	4646	13	0.28
cpd00161	L-Threonine	amino acid	L8	4646	1	0.02
cpd00065	L-Tryptophan	amino acid	L8	4646	17	0.37
cpd00359	indol	other	L8	4646	26	0.56
cpd00017	S-Adenosyl-L-methionine	amino acid	L8	4646	28	0.60
cpd00281	GABA	other	L8	4646	23	0.50
cpd00106	Fumarate	organic acid	L8	4646	168	3.62
cpd00117	D-Alanine	amino acid	L8	4646	34	0.73
cpd00035	L-Alanine	amino acid	L8	4646	28	0.60
cpd00218	Niacin	other	L8	4646	4	0.09
cpd00064	Ornithine	other	L8	4646	9	0.19
cpd00222	GLCN	other	L8	4646	26	0.56
cpd03846	octanoate	other	L8	4646	1	0.02
cpd00644	PAN	other	L8	4646	1	0.02
cpd00036	Succinate	organic acid	L9	4572	829	18.13
cpd00159	L-Lactate	organic acid	L9	4572	1238	27.08
cpd00363	Ethanol	alcohol/diol	L9	4572	2962	64.79
cpd00246	Inosine	nucleoside	L9	4572	2092	45.76
cpd00130	L-Malate	organic acid	L9	4572	2001	43.77
cpd00221	D-Lactate	organic acid	L9	4572	729	15.94
cpd00118	Putrescine	other	L9	4572	643	14.06
cpd00020	Pyruvate	organic acid	L9	4572	1915	41.89
cpd00105	D-Ribose	sugar	L9	4572	1003	21.94
cpd00367	Cytidine	nucleoside	L9	4572	306	6.69
cpd00084	L-Cysteine	amino acid	L9	4572	7	0.15
cpd00309	XAN	other	L9	4572	259	5.66
cpd00116	Methanol	alcohol/diol	L9	4572	652	14.26
cpd00053	L-Glutamine	amino acid	L9	4572	544	11.90
cpd00139	Glycolate	organic acid	L9	4572	41	0.90
cpd00023	L-Glutamate	amino acid	L9	4572	82	1.79
cpd00039	L-Lysine	amino acid	L9	4572	37	0.81
cpd00029	Acetate	organic acid	L9	4572	307	6.71
cpd00033	Glycine	amino acid	L9	4572	542	11.85
cpd01217	Xanthosine	nucleoside	L9	4572	288	6.30
cpd00311	Guanosine	nucleoside	L9	4572	238	5.21
cpd00092	Uracil	other	L9	4572	55	1.20
cpd00024	2-Oxoglutarate	organic acid	L9	4572	185	4.05
cpd00019	S-Adenosyl-homocysteine	amino acid	L9	4572	9	0.20
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L9	4572	219	4.79
cpd00047	Formate	organic acid	L9	4572	342	7.48
cpd00129	L-Proline	amino acid	L9	4572	179	3.92
cpd00141	Propionate	organic acid	L9	4572	413	9.03
cpd00588	Sorbitol	alcohol/diol	L9	4572	293	6.41
cpd00453	1,2-Propanediol	alcohol/diol	L9	4572	484	10.59
cpd00324	MTTL	other	L9	4572	452	9.89
cpd00306	Xylitol	other	L9	4572	76	1.66
cpd00137	Citrate	organic acid	L9	4572	1	0.02
cpd00121	L-Inositol	other	L9	4572	9	0.20
cpd00794	TRHL	other	L9	4572	37	0.81
cpd00182	Adenosine	nucleoside	L9	4572	2	0.04
cpd03846	octanoate	other	L9	4572	2	0.04
cpd00644	PAN	other	L9	4572	2	0.04
cpd00307	Cytosine	other	L9	4572	19	0.42
cpd00220	Riboflavin	other	L9	4572	6	0.13
cpd00041	L-Aspartate	amino acid	L9	4572	6	0.13
cpd00132	L-Asparagine	amino acid	L9	4572	1	0.02
cpd00108	Galactose	sugar	L9	4572	11	0.24
cpd00371	Propanal	other	L9	4572	13	0.28
cpd00054	L-Serine	amino acid	L9	4572	4	0.09
cpd00065	L-Tryptophan	amino acid	L9	4572	14	0.31
cpd00359	indol	other	L9	4572	25	0.55
cpd00017	S-Adenosyl-L-methionine	amino acid	L9	4572	32	0.70
cpd00106	Fumarate	organic acid	L9	4572	164	3.59
cpd00281	GABA	other	L9	4572	25	0.55
cpd00117	D-Alanine	amino acid	L9	4572	34	0.74
cpd00218	Niacin	other	L9	4572	3	0.07
cpd00064	Ornithine	other	L9	4572	10	0.22
cpd00035	L-Alanine	amino acid	L9	4572	29	0.63
cpd00222	GLCN	other	L9	4572	25	0.55
