cpd	name	class	level	n_mut_pairs	n_export	prevalence
cpd00182	Adenosine	nucleoside	L9	1284	5	0.39
cpd00064	Ornithine	other	L9	1284	4	0.31
cpd03808	Lacto-N-biose	other	L9	1284	3	0.23
cpd00035	L-Alanine	amino acid	L9	1284	2	0.16
cpd00060	L-Methionine	amino acid	L9	1284	2	0.16
cpd00108	Galactose	sugar	L9	1284	2	0.16
cpd00208	LACT	other	L9	1284	2	0.16
cpd11976	Maltodextrin	other	L9	1284	2	0.16
cpd00076	Sucrose	other	L9	1284	1	0.08
cpd00137	Citrate	organic acid	L9	1284	1	0.08
